Word,TF-IDF Score
enforcement,87.45478757746886
spending,87.21357250157982
better,87.08026315703758
best,86.52185929498523
program,85.37443238516907
talking,84.57557114590148
staff,84.34055917352788
sotu,84.0795313954527
hall,84.04807139880086
issues,84.04154254998276
public,83.48785268111298
taxes,83.35514995961299
texas,81.51352448305957
afternoon,81.34950974610707
town,81.20295894792265
month,80.37412380517513
provide,79.55285348837302
economic,79.49356925089906
workers,79.24227771004605
energy,79.18938910749604
special,79.16235988148131
prayers,79.06786831991656
infrastructure,78.97282893753203
discussion,78.72592566740015
children,77.83393013999896
happening,77.53434816751344
strong,77.47714778635385
serve,77.40882396146405
introduced,77.25493128597697
iran,76.98181351065048
hard,76.85384388344316
leaders,76.75613650785857
efforts,76.41657140147319
bonuses,76.41531161583526
secretary,76.31863007447174
hosting,76.2834193076288
united,75.95610420232558
sure,75.44494235538637
fight,75.29811203788867
plan,75.00632270469
address,74.75750591510858
money,74.53503210880879
foxbusiness,74.16343069716334
victims,74.05108477076627
hope,73.53689809382247
ensure,73.15408986162316
democrats,72.68771721589277
competition,72.00047207808507
including,71.57372817690486
deal,71.1483117724405
administration,70.64037506914777
relief,70.58069163392028
remember,70.07361194589676
companies,69.94080047042657
open,69.77377219251687
farmers,69.67384055546972
taking,69.64863045656776
step,69.48361928910981
report,69.46188832539676
critical,69.33201304023464
april,69.000625355673
congrats,68.86102698316257
spoke,68.82382923872999
speak,68.81273623298691
award,68.48803405546407
houseappropsgop,68.44206556919771
speaking,68.00907294478
grateful,68.0039811076449
wishing,67.97304203564117
annual,67.94557490894363
stevescalise,67.91809667922196
update,67.86328746428171
policy,67.78798713240029
defense,67.69845460274405
future,67.66428856213201
welcome,67.377527758566
pleased,67.36531306684294
making,67.30361746581502
team,65.87121703902666
announced,65.81019400356658
legislative,65.43943169396901
praying,65.23628663884534
billion,65.21376522547293
letter,65.09270899976322
trade,65.03254716979448
questions,64.79126522309379
2017,64.58179392732552
passing,64.39892910466969
combat,64.18236366280946
long,64.02760304907059
getting,63.925046426789926
importance,63.63208527570971
mark,63.5937753052213
receive,63.536466595832344
latest,63.526072693740446
needs,63.31347454757389
amendment,63.243899421915174
historic,63.206086011732445
education,63.19300843497201
visiting,63.107605871675176
going,63.08453390454617
said,62.87701518816044
immigration,62.723583067050086
center,62.66381475232382
tour,62.423253054671584
helping,62.01897779184591
excited,61.71449649635776
crisis,61.38739040632115
action,61.21422274102417
bush,61.142598073695474
breaking,61.08458405040085
hardworking,60.829433708770466
deserve,60.66838864684937
friends,60.662624728122665
member,60.58383119518899
markup,60.32836020660392
safety,60.26785452304768
brave,60.23543683445289
pass,60.22041537816936
appropriations,60.094052788401925
signed,59.9544387344028
city,59.77000348341828
access,59.330356901049676
seeing,59.25384281145104
hold,59.146842105779
thoughts,58.85042313681717
question,58.659474888714776
police,58.64122946422008
lost,58.63541333769014
come,58.42147844121777
agree,58.15188839919871
pleasure,58.14197543821511
services,58.00760596658038
taxday,57.83679229673978
able,57.39084815774973
means,57.338032130850095
constituents,57.311739105186966
drug,57.180762771421875
water,57.15636794979037
start,56.95716478861671
officers,56.89792759067996
information,56.74494089216719
conference,56.622423323356834
farm,56.61207284176924
omnibus,56.53986387467411
passage,56.51179341121832
folks,56.106519663490076
trafficking,55.93672911455063
child,55.73640124422844
event,55.6659037319087
young,55.6622446671928
discussing,55.419897713535335
broken,55.104967479401076
israel,55.07802316943254
continues,54.98941160871258
agriculture,54.857014121994645
human,54.5981119256042
facebook,54.38140906075274
discussed,53.735487522774086
history,53.20796704391205
financialcmte,53.16424327185077
group,53.08090023705586
recent,52.94084665499636
starting,52.87431253689749
celebrating,52.81615757786483
rural,52.524951791140076
florida,52.493566476652475
stand,51.85796794488723
served,51.85034527612618
supporting,51.822856189048615
nearly,51.63910363557862
oped,51.636635091278414
hascrepublicans,51.589093282752714
increase,51.380577295317
resources,51.22025214391796
